2026-02-10T22:50:37.638000+00:00 | 2026-02-10T19:50:37.638000-03:00 | info | whatsapp-baileys | Cleared auth state for fresh QR | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-10T22:50:37.652000+00:00 | 2026-02-10T19:50:37.652000-03:00 | info | whatsapp:auth | Created new credentials | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-10T22:50:37.776000+00:00 | 2026-02-10T19:50:37.776000-03:00 | info | api:instances | Triggered connection | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-10T22:50:38.309000+00:00 | 2026-02-10T19:50:38.309000-03:00 | info | whatsapp:connection | QR code generated | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-10T22:50:38.323000+00:00 | 2026-02-10T19:50:38.323000-03:00 | info | api:qr-store | QR Code generated for WhatsApp | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-10T22:50:44.979000+00:00 | 2026-02-10T19:50:44.979000-03:00 | warn | whatsapp-baileys | Instance already connected | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-10T22:50:44.982000+00:00 | 2026-02-10T19:50:44.982000-03:00 | info | http | → POST /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/connect | inst= | err=
2026-02-10T22:50:59.574000+00:00 | 2026-02-10T19:50:59.574000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-10T22:50:59.579000+00:00 | 2026-02-10T19:50:59.579000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-10T22:51:04.610000+00:00 | 2026-02-10T19:51:04.610000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-10T22:51:04.614000+00:00 | 2026-02-10T19:51:04.614000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-10T22:51:38.311000+00:00 | 2026-02-10T19:51:38.311000-03:00 | info | whatsapp:connection | QR code expired | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-10T22:51:38.313000+00:00 | 2026-02-10T19:51:38.313000-03:00 | info | api:qr-store | QR Code generated for WhatsApp | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-10T22:51:53.170000+00:00 | 2026-02-10T19:51:53.170000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-10T22:51:53.174000+00:00 | 2026-02-10T19:51:53.174000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-10T22:51:58.200000+00:00 | 2026-02-10T19:51:58.200000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-10T22:51:58.204000+00:00 | 2026-02-10T19:51:58.204000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-10T22:51:58.311000+00:00 | 2026-02-10T19:51:58.311000-03:00 | info | whatsapp:connection | QR code expired | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-10T22:51:58.313000+00:00 | 2026-02-10T19:51:58.313000-03:00 | info | api:qr-store | QR Code generated for WhatsApp | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-10T22:51:59.181000+00:00 | 2026-02-10T19:51:59.181000-03:00 | info | whatsapp:connection | Connection closed | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-10T22:51:59.181000+00:00 | 2026-02-10T19:51:59.181000-03:00 | info | whatsapp:connection | Auth handshake, waiting for credentials to save | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-10T22:52:01.182000+00:00 | 2026-02-10T19:52:01.182000-03:00 | info | whatsapp:connection | Reconnecting to complete authentication | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-10T22:52:01.182000+00:00 | 2026-02-10T19:52:01.182000-03:00 | info | whatsapp-baileys | Closing existing socket before reconnect | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-10T22:52:01.184000+00:00 | 2026-02-10T19:52:01.184000-03:00 | info | whatsapp:auth | Restored credentials | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-10T22:52:03.241000+00:00 | 2026-02-10T19:52:03.241000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-10T22:52:03.264000+00:00 | 2026-02-10T19:52:03.264000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
